Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Team
VER,1.0,99.019,SOFT,4.0,Red Bull Racing
VER,2.0,97.974,SOFT,5.0,Red Bull Racing
VER,3.0,98.006,SOFT,6.0,Red Bull Racing
VER,4.0,97.976,SOFT,7.0,Red Bull Racing
VER,5.0,98.035,SOFT,8.0,Red Bull Racing
VER,6.0,97.986,SOFT,9.0,Red Bull Racing
VER,7.0,98.021,SOFT,10.0,Red Bull Racing
VER,8.0,98.154,SOFT,11.0,Red Bull Racing
VER,9.0,98.278,SOFT,12.0,Red Bull Racing
VER,10.0,98.369,SOFT,13.0,Red Bull Racing
VER,11.0,98.483,SOFT,14.0,Red Bull Racing
VER,12.0,98.591,SOFT,15.0,Red Bull Racing
VER,13.0,98.482,SOFT,16.0,Red Bull Racing
VER,16.0,97.801,SOFT,2.0,Red Bull Racing
VER,17.0,97.648,SOFT,3.0,Red Bull Racing
VER,18.0,97.614,SOFT,4.0,Red Bull Racing
VER,19.0,97.712,SOFT,5.0,Red Bull Racing
VER,20.0,97.788,SOFT,6.0,Red Bull Racing
VER,21.0,97.582,SOFT,7.0,Red Bull Racing
VER,22.0,97.651,SOFT,8.0,Red Bull Racing
VER,23.0,97.552,SOFT,9.0,Red Bull Racing
VER,24.0,97.387,SOFT,10.0,Red Bull Racing
VER,25.0,97.372,SOFT,11.0,Red Bull Racing
VER,26.0,97.682,SOFT,12.0,Red Bull Racing
VER,27.0,97.379,SOFT,13.0,Red Bull Racing
VER,28.0,97.651,SOFT,14.0,Red Bull Racing
VER,29.0,97.571,SOFT,15.0,Red Bull Racing
VER,30.0,97.549,SOFT,16.0,Red Bull Racing
VER,31.0,97.431,SOFT,17.0,Red Bull Racing
VER,32.0,97.691,SOFT,18.0,Red Bull Racing
VER,33.0,97.686,SOFT,19.0,Red Bull Racing
VER,34.0,97.839,SOFT,20.0,Red Bull Racing
VER,35.0,97.85,SOFT,21.0,Red Bull Racing
VER,38.0,96.297,HARD,2.0,Red Bull Racing
VER,39.0,96.446,HARD,3.0,Red Bull Racing
VER,40.0,96.942,HARD,4.0,Red Bull Racing
VER,43.0,96.89,HARD,7.0,Red Bull Racing
VER,44.0,96.236,HARD,8.0,Red Bull Racing
VER,45.0,97.015,HARD,9.0,Red Bull Racing
VER,46.0,96.701,HARD,10.0,Red Bull Racing
VER,47.0,97.009,HARD,11.0,Red Bull Racing
VER,48.0,96.918,HARD,12.0,Red Bull Racing
VER,49.0,96.962,HARD,13.0,Red Bull Racing
VER,50.0,97.25,HARD,14.0,Red Bull Racing
VER,51.0,97.427,HARD,15.0,Red Bull Racing
VER,52.0,96.919,HARD,16.0,Red Bull Racing
VER,53.0,96.89,HARD,17.0,Red Bull Racing
VER,54.0,96.678,HARD,18.0,Red Bull Racing
VER,55.0,96.322,HARD,19.0,Red Bull Racing
VER,56.0,97.205,HARD,20.0,Red Bull Racing
VER,57.0,96.373,HARD,21.0,Red Bull Racing
GAS,2.0,100.438,SOFT,2.0,Alpine
GAS,11.0,98.762,HARD,2.0,Alpine
GAS,12.0,98.928,HARD,3.0,Alpine
GAS,13.0,99.349,HARD,4.0,Alpine
GAS,14.0,98.859,HARD,5.0,Alpine
GAS,15.0,98.985,HARD,6.0,Alpine
GAS,16.0,98.945,HARD,7.0,Alpine
GAS,17.0,99.011,HARD,8.0,Alpine
GAS,18.0,99.029,HARD,9.0,Alpine
GAS,19.0,99.066,HARD,10.0,Alpine
GAS,20.0,99.017,HARD,11.0,Alpine
GAS,21.0,99.327,HARD,12.0,Alpine
GAS,22.0,99.485,HARD,13.0,Alpine
GAS,23.0,99.263,HARD,14.0,Alpine
GAS,24.0,99.761,HARD,15.0,Alpine
GAS,27.0,98.729,HARD,2.0,Alpine
GAS,28.0,97.761,HARD,3.0,Alpine
GAS,29.0,98.012,HARD,4.0,Alpine
GAS,30.0,97.76,HARD,5.0,Alpine
GAS,31.0,97.968,HARD,6.0,Alpine
GAS,32.0,98.012,HARD,7.0,Alpine
GAS,33.0,97.974,HARD,8.0,Alpine
GAS,34.0,98.022,HARD,9.0,Alpine
GAS,35.0,98.088,HARD,10.0,Alpine
GAS,36.0,98.184,HARD,11.0,Alpine
GAS,37.0,98.133,HARD,12.0,Alpine
GAS,38.0,98.108,HARD,13.0,Alpine
GAS,39.0,98.537,HARD,14.0,Alpine
GAS,42.0,95.068,SOFT,2.0,Alpine
GAS,43.0,95.942,SOFT,3.0,Alpine
GAS,44.0,95.792,SOFT,4.0,Alpine
GAS,45.0,96.186,SOFT,5.0,Alpine
GAS,46.0,96.041,SOFT,6.0,Alpine
GAS,47.0,96.12,SOFT,7.0,Alpine
GAS,48.0,96.368,SOFT,8.0,Alpine
GAS,49.0,96.803,SOFT,9.0,Alpine
GAS,50.0,96.551,SOFT,10.0,Alpine
GAS,51.0,96.635,SOFT,11.0,Alpine
GAS,52.0,96.891,SOFT,12.0,Alpine
GAS,53.0,96.979,SOFT,13.0,Alpine
GAS,54.0,97.222,SOFT,14.0,Alpine
GAS,55.0,97.559,SOFT,15.0,Alpine
GAS,56.0,97.845,SOFT,16.0,Alpine
GAS,57.0,98.147,SOFT,17.0,Alpine
PER,2.0,98.862,SOFT,5.0,Red Bull Racing
PER,3.0,98.83,SOFT,6.0,Red Bull Racing
PER,4.0,98.758,SOFT,7.0,Red Bull Racing
PER,5.0,98.404,SOFT,8.0,Red Bull Racing
PER,6.0,98.718,SOFT,9.0,Red Bull Racing
PER,7.0,98.804,SOFT,10.0,Red Bull Racing
PER,8.0,99.172,SOFT,11.0,Red Bull Racing
PER,9.0,98.914,SOFT,12.0,Red Bull Racing
PER,10.0,99.085,SOFT,13.0,Red Bull Racing
PER,11.0,99.249,SOFT,14.0,Red Bull Racing
PER,12.0,99.197,SOFT,15.0,Red Bull Racing
PER,13.0,99.336,SOFT,16.0,Red Bull Racing
PER,14.0,98.739,SOFT,17.0,Red Bull Racing
PER,15.0,98.608,SOFT,18.0,Red Bull Racing
PER,16.0,98.77,SOFT,19.0,Red Bull Racing
PER,19.0,97.659,SOFT,4.0,Red Bull Racing
PER,20.0,97.448,SOFT,5.0,Red Bull Racing
PER,21.0,97.24,SOFT,6.0,Red Bull Racing
PER,22.0,97.169,SOFT,7.0,Red Bull Racing
PER,23.0,97.304,SOFT,8.0,Red Bull Racing
PER,24.0,97.352,SOFT,9.0,Red Bull Racing
PER,25.0,98.418,SOFT,10.0,Red Bull Racing
PER,26.0,97.454,SOFT,11.0,Red Bull Racing
PER,27.0,97.387,SOFT,12.0,Red Bull Racing
PER,28.0,97.211,SOFT,13.0,Red Bull Racing
PER,29.0,97.733,SOFT,14.0,Red Bull Racing
PER,30.0,97.4,SOFT,15.0,Red Bull Racing
PER,31.0,97.919,SOFT,16.0,Red Bull Racing
PER,32.0,97.722,SOFT,17.0,Red Bull Racing
PER,33.0,97.869,SOFT,18.0,Red Bull Racing
PER,36.0,96.82,HARD,2.0,Red Bull Racing
PER,37.0,96.344,HARD,3.0,Red Bull Racing
PER,38.0,96.431,HARD,4.0,Red Bull Racing
PER,39.0,96.429,HARD,5.0,Red Bull Racing
PER,40.0,97.114,HARD,6.0,Red Bull Racing
PER,42.0,99.657,HARD,8.0,Red Bull Racing
PER,43.0,96.554,HARD,9.0,Red Bull Racing
PER,44.0,96.978,HARD,10.0,Red Bull Racing
PER,45.0,96.928,HARD,11.0,Red Bull Racing
PER,46.0,97.257,HARD,12.0,Red Bull Racing
PER,47.0,96.661,HARD,13.0,Red Bull Racing
PER,48.0,96.859,HARD,14.0,Red Bull Racing
PER,49.0,97.049,HARD,15.0,Red Bull Racing
PER,50.0,97.731,HARD,16.0,Red Bull Racing
PER,51.0,97.049,HARD,17.0,Red Bull Racing
PER,52.0,97.062,HARD,18.0,Red Bull Racing
PER,53.0,97.345,HARD,19.0,Red Bull Racing
PER,54.0,97.296,HARD,20.0,Red Bull Racing
PER,55.0,97.092,HARD,21.0,Red Bull Racing
PER,56.0,96.565,HARD,22.0,Red Bull Racing
PER,57.0,96.558,HARD,23.0,Red Bull Racing
ALO,2.0,99.792,SOFT,5.0,Aston Martin
ALO,3.0,99.1,SOFT,6.0,Aston Martin
ALO,4.0,99.548,SOFT,7.0,Aston Martin
ALO,5.0,99.662,SOFT,8.0,Aston Martin
ALO,6.0,99.674,SOFT,9.0,Aston Martin
ALO,7.0,99.729,SOFT,10.0,Aston Martin
ALO,8.0,99.959,SOFT,11.0,Aston Martin
ALO,9.0,100.275,SOFT,12.0,Aston Martin
ALO,10.0,100.203,SOFT,13.0,Aston Martin
ALO,13.0,100.341,SOFT,16.0,Aston Martin
ALO,16.0,97.542,HARD,2.0,Aston Martin
ALO,17.0,98.139,HARD,3.0,Aston Martin
ALO,18.0,98.124,HARD,4.0,Aston Martin
ALO,19.0,98.361,HARD,5.0,Aston Martin
ALO,20.0,98.318,HARD,6.0,Aston Martin
ALO,21.0,98.407,HARD,7.0,Aston Martin
ALO,22.0,98.2,HARD,8.0,Aston Martin
ALO,23.0,97.853,HARD,9.0,Aston Martin
ALO,24.0,97.878,HARD,10.0,Aston Martin
ALO,25.0,98.139,HARD,11.0,Aston Martin
ALO,26.0,98.127,HARD,12.0,Aston Martin
ALO,27.0,98.612,HARD,13.0,Aston Martin
ALO,28.0,98.199,HARD,14.0,Aston Martin
ALO,29.0,98.585,HARD,15.0,Aston Martin
ALO,30.0,98.282,HARD,16.0,Aston Martin
ALO,31.0,98.009,HARD,17.0,Aston Martin
ALO,32.0,97.871,HARD,18.0,Aston Martin
ALO,33.0,97.769,HARD,19.0,Aston Martin
ALO,34.0,100.353,HARD,20.0,Aston Martin
ALO,36.0,96.156,HARD,2.0,Aston Martin
ALO,37.0,97.431,HARD,3.0,Aston Martin
ALO,38.0,97.002,HARD,4.0,Aston Martin
ALO,39.0,97.243,HARD,5.0,Aston Martin
ALO,40.0,97.208,HARD,6.0,Aston Martin
ALO,42.0,96.334,HARD,8.0,Aston Martin
ALO,43.0,96.911,HARD,9.0,Aston Martin
ALO,44.0,97.022,HARD,10.0,Aston Martin
ALO,45.0,97.931,HARD,11.0,Aston Martin
ALO,46.0,97.087,HARD,12.0,Aston Martin
ALO,47.0,97.326,HARD,13.0,Aston Martin
ALO,48.0,96.783,HARD,14.0,Aston Martin
ALO,49.0,96.726,HARD,15.0,Aston Martin
ALO,50.0,96.331,HARD,16.0,Aston Martin
ALO,51.0,96.96,HARD,17.0,Aston Martin
ALO,52.0,97.01,HARD,18.0,Aston Martin
ALO,53.0,97.01,HARD,19.0,Aston Martin
ALO,54.0,97.599,HARD,20.0,Aston Martin
ALO,55.0,97.662,HARD,21.0,Aston Martin
ALO,56.0,97.473,HARD,22.0,Aston Martin
ALO,57.0,97.422,HARD,23.0,Aston Martin
LEC,1.0,100.23,SOFT,1.0,Ferrari
