Driver,LapNumber,LapTimeSeconds,TyreLife,Team,Compound_HARD,Compound_MEDIUM,Compound_SOFT
VER,1.0,99.019,4.0,Red Bull Racing,False,False,True
VER,2.0,97.974,5.0,Red Bull Racing,False,False,True
VER,3.0,98.006,6.0,Red Bull Racing,False,False,True
VER,4.0,97.976,7.0,Red Bull Racing,False,False,True
VER,5.0,98.035,8.0,Red Bull Racing,False,False,True
VER,6.0,97.986,9.0,Red Bull Racing,False,False,True
VER,7.0,98.021,10.0,Red Bull Racing,False,False,True
VER,8.0,98.154,11.0,Red Bull Racing,False,False,True
VER,9.0,98.278,12.0,Red Bull Racing,False,False,True
VER,10.0,98.369,13.0,Red Bull Racing,False,False,True
VER,11.0,98.483,14.0,Red Bull Racing,False,False,True
VER,12.0,98.591,15.0,Red Bull Racing,False,False,True
VER,13.0,98.482,16.0,Red Bull Racing,False,False,True
VER,16.0,97.801,2.0,Red Bull Racing,False,False,True
VER,17.0,97.648,3.0,Red Bull Racing,False,False,True
VER,18.0,97.614,4.0,Red Bull Racing,False,False,True
VER,19.0,97.712,5.0,Red Bull Racing,False,False,True
VER,20.0,97.788,6.0,Red Bull Racing,False,False,True
VER,21.0,97.582,7.0,Red Bull Racing,False,False,True
VER,22.0,97.651,8.0,Red Bull Racing,False,False,True
VER,23.0,97.552,9.0,Red Bull Racing,False,False,True
VER,24.0,97.387,10.0,Red Bull Racing,False,False,True
VER,25.0,97.372,11.0,Red Bull Racing,False,False,True
VER,26.0,97.682,12.0,Red Bull Racing,False,False,True
VER,27.0,97.379,13.0,Red Bull Racing,False,False,True
VER,28.0,97.651,14.0,Red Bull Racing,False,False,True
VER,29.0,97.571,15.0,Red Bull Racing,False,False,True
VER,30.0,97.549,16.0,Red Bull Racing,False,False,True
VER,31.0,97.431,17.0,Red Bull Racing,False,False,True
VER,32.0,97.691,18.0,Red Bull Racing,False,False,True
VER,33.0,97.686,19.0,Red Bull Racing,False,False,True
VER,34.0,97.839,20.0,Red Bull Racing,False,False,True
VER,35.0,97.85,21.0,Red Bull Racing,False,False,True
VER,38.0,96.297,2.0,Red Bull Racing,True,False,False
VER,39.0,96.446,3.0,Red Bull Racing,True,False,False
VER,40.0,96.942,4.0,Red Bull Racing,True,False,False
VER,43.0,96.89,7.0,Red Bull Racing,True,False,False
VER,44.0,96.236,8.0,Red Bull Racing,True,False,False
