,LapNumber,LapTime,Compound,TyreLife,FreshTyre,Stint,TrackStatus,LapTimeSeconds
0,1.0,0 days 00:01:39.019000,SOFT,4.0,False,1.0,12,99.019
1,2.0,0 days 00:01:37.974000,SOFT,5.0,False,1.0,12,97.974
2,3.0,0 days 00:01:38.006000,SOFT,6.0,False,1.0,1,98.006
3,4.0,0 days 00:01:37.976000,SOFT,7.0,False,1.0,1,97.976
4,5.0,0 days 00:01:38.035000,SOFT,8.0,False,1.0,1,98.035
5,6.0,0 days 00:01:37.986000,SOFT,9.0,False,1.0,1,97.986
6,7.0,0 days 00:01:38.021000,SOFT,10.0,False,1.0,1,98.021
7,8.0,0 days 00:01:38.154000,SOFT,11.0,False,1.0,1,98.154
8,9.0,0 days 00:01:38.278000,SOFT,12.0,False,1.0,1,98.278
9,10.0,0 days 00:01:38.369000,SOFT,13.0,False,1.0,1,98.369
10,11.0,0 days 00:01:38.483000,SOFT,14.0,False,1.0,1,98.483
11,12.0,0 days 00:01:38.591000,SOFT,15.0,False,1.0,1,98.591
12,13.0,0 days 00:01:38.482000,SOFT,16.0,False,1.0,1,98.482
13,14.0,0 days 00:01:41.295000,SOFT,17.0,False,1.0,1,101.295
14,16.0,0 days 00:01:37.801000,SOFT,2.0,False,2.0,1,97.801
15,17.0,0 days 00:01:37.648000,SOFT,3.0,False,2.0,1,97.648
16,18.0,0 days 00:01:37.614000,SOFT,4.0,False,2.0,1,97.614
17,19.0,0 days 00:01:37.712000,SOFT,5.0,False,2.0,1,97.712
18,20.0,0 days 00:01:37.788000,SOFT,6.0,False,2.0,1,97.788
19,21.0,0 days 00:01:37.582000,SOFT,7.0,False,2.0,1,97.582
20,22.0,0 days 00:01:37.651000,SOFT,8.0,False,2.0,1,97.651
21,23.0,0 days 00:01:37.552000,SOFT,9.0,False,2.0,1,97.552
22,24.0,0 days 00:01:37.387000,SOFT,10.0,False,2.0,1,97.387
23,25.0,0 days 00:01:37.372000,SOFT,11.0,False,2.0,1,97.372
24,26.0,0 days 00:01:37.682000,SOFT,12.0,False,2.0,1,97.682
25,27.0,0 days 00:01:37.379000,SOFT,13.0,False,2.0,1,97.379
26,28.0,0 days 00:01:37.651000,SOFT,14.0,False,2.0,1,97.651
27,29.0,0 days 00:01:37.571000,SOFT,15.0,False,2.0,1,97.571
28,30.0,0 days 00:01:37.549000,SOFT,16.0,False,2.0,1,97.549
29,31.0,0 days 00:01:37.431000,SOFT,17.0,False,2.0,1,97.431
30,32.0,0 days 00:01:37.691000,SOFT,18.0,False,2.0,1,97.691
31,33.0,0 days 00:01:37.686000,SOFT,19.0,False,2.0,1,97.686
32,34.0,0 days 00:01:37.839000,SOFT,20.0,False,2.0,1,97.839
33,35.0,0 days 00:01:37.850000,SOFT,21.0,False,2.0,1,97.85
34,36.0,0 days 00:01:40.964000,SOFT,22.0,False,2.0,1,100.964
35,38.0,0 days 00:01:36.297000,HARD,2.0,True,3.0,1,96.297
36,39.0,0 days 00:01:36.446000,HARD,3.0,True,3.0,1,96.446
37,40.0,0 days 00:01:36.942000,HARD,4.0,True,3.0,1,96.942
38,43.0,0 days 00:01:36.890000,HARD,7.0,True,3.0,1,96.89
39,44.0,0 days 00:01:36.236000,HARD,8.0,True,3.0,1,96.236
40,45.0,0 days 00:01:37.015000,HARD,9.0,True,3.0,1,97.015
41,46.0,0 days 00:01:36.701000,HARD,10.0,True,3.0,1,96.701
42,47.0,0 days 00:01:37.009000,HARD,11.0,True,3.0,1,97.009
43,48.0,0 days 00:01:36.918000,HARD,12.0,True,3.0,1,96.918
44,49.0,0 days 00:01:36.962000,HARD,13.0,True,3.0,1,96.962
45,50.0,0 days 00:01:37.250000,HARD,14.0,True,3.0,1,97.25
46,51.0,0 days 00:01:37.427000,HARD,15.0,True,3.0,1,97.427
47,52.0,0 days 00:01:36.919000,HARD,16.0,True,3.0,1,96.919
48,53.0,0 days 00:01:36.890000,HARD,17.0,True,3.0,1,96.89
49,54.0,0 days 00:01:36.678000,HARD,18.0,True,3.0,1,96.678
50,55.0,0 days 00:01:36.322000,HARD,19.0,True,3.0,1,96.322
51,56.0,0 days 00:01:37.205000,HARD,20.0,True,3.0,1,97.205
52,57.0,0 days 00:01:36.373000,HARD,21.0,True,3.0,1,96.373
